V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,cond,objective,Q3,Q73,Q11,Q13,Q14,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,gender,age_1,puboffice,Q64,pubemploy,authority,comments
R_8AjrfNlYGEwIGXz,Default Response Set,Anonymous,,,17,0,2014-06-04 14:37:22,2014-06-04 14:41:19,1,0,food stamps,1,1,1,1,,5,1,4,4,2,5,58.909,105.36300000000001,107.361,7,2,1,,,2,,,7,,2,42,9,9,8,8,
R_1RCaxP1MS3H2NvL,Default Response Set,Anonymous,,,14,0,2014-06-04 14:40:06,2014-06-04 14:42:57,1,1,tax breaks,1,1,1,,1,3,4,2,4,4,3,56.313,80.273,81.838,6,2,1,,,1,,,,1,1,45,8,9,8,9,
R_cw47O0qV9ARdgIB,Default Response Set,Anonymous,,,25,0,2014-06-04 14:40:49,2014-06-04 14:44:31,1,1,tax breaks,1,1,1,,1,2,4,2,4,4,4,73.585,108.15899999999999,109.513,6,3,2,,,2,,,,2,1,49,9,9,8,9,
R_6yRPHgjI2gsc9Ol,Default Response Set,Anonymous,,,23,0,2014-06-04 14:53:53,2014-06-04 14:57:24,1,0,food stamps,1,1,1,1,,2,4,3,4,3,4,61.1,92.14500000000001,93.027,6,2,1,,,2,,,7,,2,32,9,9,9,9,
R_6KximvT9qGPZ9Jz,Default Response Set,Anonymous,,,13,0,2014-06-04 15:29:21,2014-06-04 15:35:58,1,1,tax breaks,1,1,1,,1,1,5,1,4,4,4,145.408,223.999,232.27,9,1,5,,1,,,,,2,1,50,9,9,8,8,
R_bCyVuh9Mw8OoKl7,Default Response Set,Anonymous,,,22,0,2014-06-04 17:07:00,2014-06-04 17:12:00,1,0,food stamps,1,1,1,1,,4,2,4,2,1,4,78.891,129.33800000000002,134.063,6,2,2,,,4,,,6,,2,41,9,9,8,8,
R_dc1toW3PLilFegl,Default Response Set,Anonymous,,,19,0,2014-06-04 17:40:03,2014-06-04 17:45:44,1,0,food stamps,1,1,1,1,,5,1,5,1,1,5,2.434,126.24499999999999,128.726,7,2,1,,,2,,,7,,1,34,9,9,8,8,Please share the results. Thank you!
R_9AWhCui1mejKqZ7,Default Response Set,Anonymous,,,87,0,2014-06-04 17:51:57,2014-06-04 17:57:02,1,0,food stamps,1,1,1,1,,1,5,2,4,5,4,67.074,182.41400000000001,183.877,7,1,4,,,6,,,6,,2,47,9,9,8,9,
R_3xFXDTB79fhiI4J,Default Response Set,Anonymous,,,15,0,2014-06-04 17:52:22,2014-06-04 18:06:02,1,1,tax breaks,1,1,1,,1,4,1,4,1,1,2,447.41,549.7570000000001,551.491,7,3,4,,,5,,,,2,1,47,9,9,8,8,
R_ahCyXtBRwr6FAmp,Default Response Set,Anonymous,,,11,0,2014-06-05 13:10:22,2014-06-05 14:15:55,1,1,tax breaks,1,1,1,,1,3,3,1,5,5,5,36.95,60.42999999999999,61.627,6,3,2,,,5,,,,3,2,56,9,9,8,9,
R_2fBvhmgFacdAG9L,Default Response Set,Anonymous,,,24,0,2014-06-05 15:45:14,2014-06-05 15:48:01,1,0,food stamps,1,1,1,1,,4,2,4,2,2,2,54.208,73.41499999999999,74.26,6,2,3,,,4,,,6,,1,52,9,9,8,8,
R_00Lx6MHX6yQLKkt,Default Response Set,Anonymous,,,28,0,2014-06-05 16:09:32,2014-06-05 16:14:33,1,0,food stamps,1,1,1,1,,2,4,3,4,2,4,94.77,128.326,129.87,6,1,6,,,6,,,2,,1,45,9,9,8,9,None
R_daolViMnTV58Amx,Default Response Set,Anonymous,,,17,0,2014-06-05 16:24:38,2014-06-05 16:28:46,1,1,tax breaks,1,1,1,,1,2,4,2,4,1,4,127.857,158.437,159.976,8,3,2,,,5,,,,6,2,43,9,9,8,8,
R_1ZaPtyVH02hesZv,Default Response Set,Anonymous,,,89,0,2014-06-05 08:39:48,2014-06-05 18:05:02,1,1,tax breaks,1,1,1,,1,2,5,3,3,4,3,17.038,33810.76699999999,33812.173,8,2,1,,,6,,,,2,1,41,9,9,8,9,
R_cJdwvfJ7JT4URZX,Default Response Set,Anonymous,,,45,0,2014-06-05 18:41:00,2014-06-05 18:43:49,1,0,food stamps,1,1,1,1,,5,1,5,1,1,4,61.118,81.384,83.154,7,2,1,,,2,,,7,,2,40,8,9,9,8,
R_3OQdEWO2Jlw5Zbv,Default Response Set,Anonymous,,,18,0,2014-06-05 19:03:42,2014-06-05 19:07:53,1,1,tax breaks,1,1,1,,1,4,2,3,2,3,4,91.913,122.13199999999999,123.617,6,2,1,,,4,,,,3,1,37,9,9,8,8,
R_cTo7CjrezyR0DEp,Default Response Set,Anonymous,,,16,0,2014-06-05 19:35:08,2014-06-05 19:41:08,1,0,food stamps,1,1,1,1,,2,3,3,4,2,5,88.883,118.059,126.043,7,2,2,,,3,,,7,,2,40,9,9,8,8,It was tough to generalize about the auto enroll strategy because it depends on the program if auto enroll makes sense. Are there fines associated with non compliance? How is the funding for the program? Does the program have a targeted purpose or an expansive one?
R_1HPgWazGQWTqZRb,Default Response Set,Anonymous,,,134,0,2014-06-06 04:25:12,2014-06-06 04:31:54,1,1,tax breaks,1,1,1,,1,3,4,3,5,3,3,13.031,120.64100000000002,122.669,7,1,,,1,6,,,,4,1,48,9,9,8,8,
R_b4agF0CPkpCEbeB,Default Response Set,Anonymous,,,111,0,2014-05-30 13:58:31,2014-05-30 13:59:27,0,0,food stamps,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_ahFYf1G3Kvgj1DT,Default Response Set,Anonymous,,,60,0,2014-05-30 14:18:06,2014-05-30 14:18:29,0,1,tax breaks,1,1,1,,1,,,,,,,0,0,7.846,0,,,,,,,,,,,,,,,,
R_86M9vECRbER6XwF,Default Response Set,Anonymous,,,137,0,2014-05-30 17:50:57,2014-05-30 18:09:02,0,1,tax breaks,1,1,1,,1,3,3,3,3,3,3,333.184,805.8690000000001,807.521,9,1,4,,,5,,,,4,,,,,,,
R_5pYP7UpAqnvwPsh,Default Response Set,Anonymous,,,95,0,2014-05-30 18:33:57,2014-05-30 18:34:32,0,1,tax breaks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_e4Jz8ckMVmkKbIh,Default Response Set,Anonymous,,,27,0,2014-06-06 18:57:54,2014-06-06 19:01:08,1,1,tax breaks,1,1,1,,1,5,1,5,1,1,1,73.208,92.199,96.753,6,2,2,,,2,,,,4,1,40,8,9,8,8,
R_ekQbA1wPoO1qRbT,Default Response Set,Anonymous,,,76,0,2014-05-30 19:45:53,2014-05-30 19:46:53,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_e9hqidvrU0u4hYF,Default Response Set,Anonymous,,,101,0,2014-06-06 20:52:02,2014-06-06 21:05:11,1,1,tax breaks,1,1,1,,1,1,5,2,4,4,4,84.409,108.271,179.844,8,1,6,,,6,,,,6,,,9,,,,
R_cGBYDZ3Zp9Bn73D,Default Response Set,Anonymous,,,39,0,2014-05-31 07:45:17,2014-05-31 07:45:44,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3wIuQcXWfv8j8lT,Default Response Set,Anonymous,,,97,0,2014-06-01 04:40:25,2014-06-01 04:40:45,0,0,food stamps,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2gYGqkGF1kH5LE1,Default Response Set,Anonymous,,,116,0,2014-06-01 12:34:01,2014-06-01 12:34:24,0,0,food stamps,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9TDZ7puXGE72ZZr,Default Response Set,Anonymous,,,12,0,2014-06-08 18:08:04,2014-06-08 18:10:54,1,0,food stamps,1,1,1,1,,4,2,5,4,1,5,48.008,76.23,77.366,6,3,2,,,5,,,5,,1,32,8,9,9,8,
R_3yoxysLC6s1LUEd,Default Response Set,Anonymous,,,102,0,2014-06-02 08:06:24,2014-06-02 08:06:47,0,0,food stamps,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_bkg48leD30BXA3P,Default Response Set,Anonymous,,,88,0,2014-06-03 06:00:14,2014-06-03 06:02:50,0,1,tax breaks,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3C8UzUq7jcMRVKl,Default Response Set,Anonymous,,,91,0,2014-06-05 05:59:45,2014-06-05 05:59:54,0,0,food stamps,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0SQnmiheBhyFNPv,Default Response Set,Anonymous,,,61,0,2014-06-05 15:56:35,2014-06-05 16:03:34,0,1,tax breaks,1,1,1,,1,4,5,2,5,5,5,2.387,295.21500000000003,300.269,8,1,6,,,4,,,,2,1,54,9,9,8,9,
R_896q7LYhtjAxYUt,Default Response Set,Anonymous,,,90,0,2014-06-06 05:16:40,2014-06-06 05:16:49,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cC0In5XpeEHYJE1,Default Response Set,Anonymous,,,100,0,2014-06-06 09:12:33,2014-06-06 09:13:15,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1NU53s55B9FzrrD,Default Response Set,Anonymous,,,26,0,2014-06-09 20:51:08,2014-06-09 20:51:22,0,0,food stamps,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6i1oBxMWB9qgfnD,Default Response Set,Anonymous,,,17,0,2014-06-12 19:25:58,2014-06-12 19:26:18,0,1,tax breaks,1,1,1,,1,,,,,,,3.183,3.183,7.137,1,,,,,,,,,,,,,,,,
R_6urvmnAsZwaOrLn,Default Response Set,Anonymous,,,56,0,2014-06-16 18:15:16,2014-06-16 18:16:07,0,0,food stamps,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_07AgWfsyxjiEUaF,Default Response Set,Anonymous,,,119,0,2014-06-27 05:46:00,2014-06-27 05:49:57,1,1,tax breaks,1,1,1,,1,4,2,4,2,1,2,68.915,112.274,113.509,6,2,2,,,5,,,,2,1,48,9,8,8,8,
R_3PIgCQrxjaajqjH,Default Response Set,Anonymous,,,36,0,2014-06-27 05:49:34,2014-06-27 05:52:09,1,1,tax breaks,1,1,1,,1,4,2,4,2,2,3,73.707,90.018,90.95,6,2,1,,,1,,,,1,2,57,9,9,8,9,
R_9S6irljLLF60Ctn,Default Response Set,Anonymous,,,125,0,2014-06-27 05:59:57,2014-06-27 06:02:33,1,0,food stamps,1,1,1,1,,5,2,5,4,1,2,33.253,74.518,75.522,6,1,2,,,4,,,5,,1,58,9,9,,8,
R_b3hzHjINHcakEIJ,Default Response Set,Anonymous,,,94,0,2014-06-27 06:02:19,2014-06-27 06:04:14,1,0,food stamps,1,1,1,1,,4,2,4,5,1,4,28.543,51.433,53.049,6,2,3,,,5,,,7,,2,44,9,9,8,8,
R_3kOZRRSaSdLXZCl,Default Response Set,Anonymous,,,98,0,2014-06-27 06:02:20,2014-06-27 06:05:04,1,1,tax breaks,1,1,1,,1,2,4,2,5,4,5,55.467,89.182,90.313,8,2,2,,,5,,,,3,1,44,9,8,8,8,
R_71wZ0u0sULtkjn7,Default Response Set,Anonymous,,,62,0,2014-06-27 06:14:02,2014-06-27 06:16:09,1,0,food stamps,1,1,1,1,,3,3,3,4,2,4,40.955,56.213,59.4,6,1,4,,,7,,,3,,1,43,9,9,8,9,
R_eQDDK8Jg88vQQcJ,Default Response Set,Anonymous,,,48,0,2014-06-27 05:58:57,2014-06-27 06:33:43,1,1,tax breaks,1,1,1,,1,2,4,3,4,4,4,1837.944,1935.116,1955.022,10,2,1,,,2,,,,2,1,63,9,9,8,8,
R_57OMIJAoqjWhPxP,Default Response Set,Anonymous,,,75,0,2014-06-27 06:44:57,2014-06-27 06:48:18,1,1,tax breaks,1,1,1,,1,4,1,4,4,2,4,53.105,80.19,81.375,7,2,4,,,5,,,,6,1,42,9,8,8,8,
R_3X9DCvrA3WNdPWR,Default Response Set,Anonymous,,,63,0,2014-06-27 06:50:44,2014-06-27 06:53:23,1,0,food stamps,1,1,1,1,,2,4,2,4,4,4,61.151,76.127,77.375,6,1,7,,,7,,,5,,2,52,9,9,8,8,
R_0wANbvh6HrH5E2N,Default Response Set,Anonymous,,,92,0,2014-06-27 07:06:05,2014-06-27 07:10:23,1,1,tax breaks,1,1,1,,1,3,3,3,5,3,3,78.637,105.003,108.574,6,2,2,,,6,,,,4,1,63,9,9,8,9,
R_3VIe42VzNGjDPRr,Default Response Set,Anonymous,,,104,0,2014-06-27 06:05:59,2014-06-27 07:22:15,1,1,tax breaks,1,1,1,,1,1,4,3,4,3,4,24.947,40.317,41.45,6,1,4,,,6,,,,5,2,43,9,9,8,8,
R_6Fk0v6302SCC7BP,Default Response Set,Anonymous,,,37,0,2014-06-27 07:21:46,2014-06-27 07:26:08,1,0,food stamps,1,1,1,1,,5,1,5,1,1,3,36.331,60.613,61.917,6,2,3,,,5,,,6,,1,52,9,8,8,8,"no although I think this context applies to a multitude of other public programs which are more complex for the general public to understand. Food stamps is somewhat simple while health information exchange is not as simple and more likely to benefit from the ""passive enrollment"" or default opt in."
R_bIcKzf6tuluOGZn,Default Response Set,Anonymous,,,86,0,2014-06-27 07:28:27,2014-06-27 07:29:50,1,0,food stamps,1,1,1,1,,,,,,,,0,0,13.003,0,,,,,,,,,,,,,,,,
R_2nndV30JVHJZmLP,Default Response Set,Anonymous,,,135,0,2014-06-27 07:27:23,2014-06-27 07:30:34,1,1,tax breaks,1,1,1,,1,3,3,4,2,2,2,53.369,78.309,81.127,6,3,3,,,4,,,,3,1,45,9,8,8,8,
R_a4cZAgS6ybastk9,Default Response Set,Anonymous,,,35,0,2014-06-27 07:31:16,2014-06-27 07:35:32,1,1,tax breaks,1,1,1,,1,4,2,3,5,3,5,88.373,115.62100000000001,116.75,6,3,3,,,3,,,,1,1,37,9,9,8,8,I found it difficult to put aside the tax-break example to answer the questions about implementing public policy.
R_e2JtRpAkQ6iXBpb,Default Response Set,Anonymous,,,52,0,2014-06-27 07:49:21,2014-06-27 07:51:38,1,0,food stamps,1,1,1,1,,1,4,1,5,1,5,50.17,72.447,73.29,6,1,4,,,5,,,4,,1,42,9,9,8,9,
R_7TGWHmU73iDFboh,Default Response Set,Anonymous,,,96,0,2014-06-27 07:54:42,2014-06-27 08:03:04,1,1,tax breaks,1,1,1,,1,3,3,2,4,4,5,101.783,157.894,158.856,6,2,3,,,,,,,1,1,39,8,9,8,8,"in the first example of tax breaks for high-income individuals, I am opposed and not in favor in general of the proposed practice, but see how it could be used in other applications where I may be more supportive, such as enrolling youth in public/military service in the way that was described. "
R_bplvmDBj5Hle8EB,Default Response Set,Anonymous,,,33,0,2014-06-27 08:14:49,2014-06-27 08:19:08,1,0,food stamps,1,1,1,1,,2,3,4,3,2,4,80.509,106.504,107.826,6,2,2,,,6,,,3,,2,43,9,8,8,8,
R_0eay6SV8GrMaPvn,Default Response Set,Anonymous,,,105,0,2014-06-27 08:17:25,2014-06-27 08:19:12,1,1,tax breaks,1,1,1,,1,1,5,1,5,3,5,29.992,48.92400000000001,49.748,6,1,4,,,7,,,,7,1,40,8,9,8,8,
R_9ojyrt9FhRQM4hD,Default Response Set,Anonymous,,,55,0,2014-06-27 08:00:44,2014-06-27 08:23:26,1,0,food stamps,1,1,1,1,,1,3,2,3,3,3,87.718,112.647,113.833,6,2,1,,,4,,,6,,2,55,9,8,8,8,No
R_byGQXpkHZcClv7f,Default Response Set,Anonymous,,,49,0,2014-06-27 08:22:07,2014-06-27 08:25:22,1,1,tax breaks,1,1,1,,1,4,1,4,1,1,1,65.145,93.67899999999999,95.685,6,3,1,,,6,,,,7,1,40,9,9,8,8,
